IDENTIFYER,Location,Authors,year,Journal,Species,Family,N_fix,Growth_Habit,Koppen,Lat,Long,MAP,MAT,EVAP,DryIND,Elevation,Land_system,Narea,WUEi,Aarea,gsarea,Log10Narea,Log10WUEi,Log10A,Log10gs,SLA,LMA,Log10SLA
289,D,Gulias,2003,Annal Bot,Viola balearica,Violaceae,N,Forb,C,39.72,3,606,16.4,,2.01,30,Natural,1.7,9.2,1.7,0.184,0.230448921,0.965631098,0.230448921,-0.735182177,,,
290,D,Gulias,2003,Annal Bot,Viola jaubertiana,Violaceae,N,Forb,C,39.72,3,606,16.4,,2.01,30,Natural,1.9,48.7,11.3,0.232,0.278753601,1.687590459,1.053078443,-0.634512015,,,
291,D,Gulias,2003,Annal Bot,Viola stolonifera,Violaceae,N,Forb,C,39.72,3,606,16.4,,2.01,30,Natural,1.6,54.3,12.5,0.23,0.204119983,1.735182177,1.096910013,-0.638272164,,,
292,D,Gulias,2003,Annal Bot,Vitex agnus-castus,Lamiaceae,N,Ev. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,2.8,47.9,22.6,0.472,0.447158031,1.680166441,1.354108439,-0.326058001,,,
293,D,Gulias,2003,Annal Bot,Vitis vinifera,Vitaceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,1.6,63.3,16.9,0.267,0.204119983,1.801375443,1.227886705,-0.573488739,,,
421,E,Lee,2001,New Phyt,Lespedeza bicolor,Fabaceae,F,Forb,D,45,-93,772,7.2,641,0.85,292,Natural,1.77,48.9,13.4,0.274,0.247973266,1.689354236,1.127104798,-0.562249437,15.9,62.89308176,1.201397124
422,E,Lee,2001,New Phyt,Lupinus,Fabaceae,F,Forb,D,45,-93,772,7.2,641,0.85,292,Natural,1.72,43.8,14.5,0.331,0.235528447,1.641540008,1.161368002,-0.480172006,18.3,54.64480874,1.26245109
416,E,Lee,2001,New Phyt,Achillea,Asteraceae,N,Forb,D,45,-93,772,7.2,641,0.85,292,Natural,1.75,31.5,10.8,0.343,0.243038049,1.498129635,1.033423755,-0.46470588,11.1,90.09009009,1.045322979
417,E,Lee,2001,New Phyt,Agropyron,Poaceae,N,Graminoid,D,45,-93,772,7.2,641,0.85,292,Natural,1,39.7,6.9,0.174,0,1.598299842,0.838849091,-0.759450752,19.5,51.28205128,1.290034611
418,E,Lee,2001,New Phyt,Anemone,Ranunculaceae,N,Forb,D,45,-93,772,7.2,641,0.85,292,Natural,1.26,45.7,5.8,0.127,0.100370545,1.659624273,0.763427994,-0.896196279,17.8,56.17977528,1.250420002
