Site,Date_Asat,Date_Rd,Species,Code,Fixer,Nonfixer,Meas,Treatment,Rep,T30_air,Tair,Tleaf,Tleaf_cor,A_area,A_mass,Rd_area,Rd_mass,E,g,WUE (A/g),%N_mass,gN_m-2,LMA,d13C,Leaf_bio_g_end,AGB_est_kg_harv,NLIM,NSAT,NLIM_Alt1,NLSAT_Alt1,NLIM_Alt2,NSAT_Alt2,WL/DIS/DAM,Use_biomass_end
T,8/20/2018,8/27/2018,ROPS,ROPS18,1,0,2,LN,20,NA,NA,NA,NA,7.26,118.4339315,0.66,10.22,0.00197,0.166,43.73493976,1.91,1.17,61.3,-28.7,795.5,7.08156778,0,1,0,1,0,1,1,1
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,LN,22,NA,NA,NA,NA,10.13,186.5561694,0.45,7.28,0.00165,0.136,74.48529412,2.3,1.25,54.3,-28.13,474.9,2.250180496,0,1,0,1,0,1,0,0
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,NP,24,NA,NA,NA,NA,13.62,229.6795953,0.8,20.8,0.00202,0.171,79.64912281,3.5,2.07,59.3,-26.87,NA,NA,0,1,0,1,0,1,1,0
T,8/20/2018,8/27/2018,ROPS,ROPS18,1,0,2,MN,26,NA,NA,NA,NA,4.01,110.4683196,NA,NA,0.00072,0.06,66.83333333,3.81,1.39,36.3,-29.51,118.7,0.48588799,0,1,0,1,0,1,1,0
T,8/20/2018,8/27/2018,ROPS,ROPS18,1,0,2,HN,28,NA,NA,NA,NA,14.19,282.6693227,0.64,11.48,0.00335,0.287,49.44250871,2.69,1.35,50.2,-29.55,815.5,5.049134965,0,1,0,1,0,1,1,0
T,8/20/2018,8/27/2018,ROPS,ROPS18,1,0,2,MN,30,NA,NA,NA,NA,15.7,216.8508287,1.43,25,0.00314,0.273,57.50915751,2.39,1.73,72.4,-29.78,1605.2,10.00981761,0,1,0,1,0,1,0,0
T,8/20/2018,8/27/2018,ROPS,ROPS18,1,0,2,NP,32,NA,NA,NA,NA,12.21,227.7985075,0.48,11.67,0.0017,0.144,84.79166667,2.57,1.38,53.6,-30.03,1852.9,17.55944025,0,1,0,1,0,1,1,0
T,8/20/2018,8/27/2018,ROPS,ROPS18,1,0,2,LN,34,NA,NA,NA,NA,7.19,103.4532374,1.15,19.17,0.00107,0.088,81.70454545,2.57,1.79,69.5,-28.2,1396.3,12.09043867,0,1,0,1,0,1,1,0
T,8/20/2018,8/27/2018,ROPS,ROPS18,1,0,2,LN,38,NA,NA,NA,NA,11.59,155.9892328,0.78,14.25,0.00284,0.243,47.69547325,1.93,1.43,74.3,-29.29,1614.8,10.44429339,0,1,0,1,0,1,0,0
T,8/24/2018,8/28/2018,ROPS,ROPS18,1,0,2,LN,44,NA,NA,NA,NA,19.71,644.1176471,1.02,16.7,0.00466,0.41,48.07317073,3.65,1.12,30.6,-29.96,80.3,0.082074189,0,1,0,1,0,1,0,0
T,8/23/2018,8/28/2018,ROPS,ROPS18,1,0,2,LN,46,NA,NA,NA,NA,21.86,419.5777351,1.08,18.33,0.00383,0.333,65.64564565,4.9,2.55,52.1,-29.79,37.4,0.053022142,0,1,0,1,0,1,0,0
S,8/24/2018,8/28/2018,ROPS,ROPS18,1,0,2,MN,48,NA,NA,NA,NA,21.95,402.7522936,1.19,23.29,0.00488,0.394,55.7106599,3.95,2.15,54.5,-28.78,1576.3,14.98681143,0,1,0,1,0,1,0,0
S,8/24/2018,8/28/2018,ROPS,ROPS18,1,0,2,HN,50,NA,NA,NA,NA,19.03,294.1267388,0.98,15.14,0.00467,0.419,45.4176611,3.38,2.19,64.7,-29,2210.1,17.10938434,0,1,0,1,0,1,0,1
S,8/23/2018,8/28/2018,ROPS,ROPS18,1,0,2,NP,52,NA,NA,NA,NA,20.88,488.9929742,0.81,21.67,0.00394,0.34,61.41176471,4.4,1.88,42.7,-30.54,1742.5,19.47128593,0,1,0,1,0,1,0,1
S,8/23/2018,8/28/2018,ROPS,ROPS18,1,0,2,MN,54,NA,NA,NA,NA,23.25,394.7368421,0.9,23.82,0.00471,0.414,56.15942029,4.28,2.52,58.9,-30.05,1784.6,18.37058616,0,1,0,1,0,1,0,1
S,8/24/2018,8/28/2018,ROPS,ROPS18,1,0,2,NP,56,NA,NA,NA,NA,22.4,500,0.86,19.46,0.00527,0.474,47.25738397,4.48,2.01,44.8,-30.68,1191.2,12.41424423,0,1,0,1,0,1,0,1
S,8/24/2018,8/28/2018,ROPS,ROPS18,1,0,2,NP,58,NA,NA,NA,NA,15.12,307.3170732,0.79,17.43,0.00198,0.209,72.34449761,3.13,1.54,49.2,-30.66,723,NA,0,1,0,1,0,1,1,0
S,8/23/2018,8/28/2018,ROPS,ROPS18,1,0,2,MN,64,NA,NA,NA,NA,19.31,293.9117199,0.7,11.57,0.00376,0.329,58.69300912,3.24,2.13,65.7,-28.67,243.1,1.868609574,0,1,0,1,0,1,1,0
S,8/23/2018,8/28/2018,ROPS,ROPS18,1,0,2,HN,66,NA,NA,NA,NA,16.42,292.1708185,1.19,28.35,0.00298,0.251,65.41832669,3.14,1.76,56.2,-30.21,41.1,0.216286743,0,1,0,1,0,1,1,0
